doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea, South;India;date
2429600399980.84;15587175.497763665;11942.822291671138;209328.0;1375152.0;224350.0;171324.0;10765.0;124794.0;69
3435973836800.0;18536380.004736632;12800.0;210717.0;1396110.0;227436.0;171879.0;10774.0;131423.0;70
4859200799961.68;22043594.988026973;13718.70032046455;211938.0;1423727.0;228030.0;172576.0;10780.0;138536.0;71
6871947673600.0;26214400.0;14703.33894396205;213013.0;1449027.0;228691.0;173171.0;10793.0;144950.0;72
9718401599923.36;31174350.99552733;15758.648490814925;214457.0;1474128.0;229540.0;174098.0;10801.0;150793.0;73
13743895347200.0;37072760.009473264;16889.70125789305;215858.0;1493132.0;230183.0;174478.0;10804.0;158086.0;74
19436803199846.72;44087189.976053946;18101.933598375617;217185.0;1514901.0;230698.0;175233.0;10806.0;165386.0;75
27487790694400.0;52428800.0;19401.17205133309;218268.0;1535350.0;230698.0;175752.0;10810.0;173491.0;76
38873606399693.44;62348701.99105466;20793.66134671963;219070.0;1559157.0;231606.0;176369.0;10822.0;181827.0;77
54975581388800.0;74145520.01894653;22286.094420380774;219814.0;1584512.0;232037.0;176551.0;10840.0;190609.0;78
77747212799386.88;88174379.95210789;23885.644583342277;221216.0;1608653.0;232555.0;177778.0;10874.0;198370.0;79
109951162777600.0;104857600.0;25600.0;222104.0;1630476.0;233037.0;178473.0;10909.0;207191.0;80
155494425598773.75;124697403.98210932;27437.4006409291;223096.0;1651289.0;234824.0;179021.0;10936.0;216824.0;81
219902325555200.0;148291040.03789306;29406.67788792408;223885.0;1670280.0;235290.0;179710.0;10962.0;226713.0;82
310988851197547.5;176348759.90421578;31517.296981629876;224760.0;1689163.0;235772.0;179986.0;10991.0;236184.0;83
439804651110400.0;209715200.0;33779.4025157861;225435.0;1707445.0;235400.0;180328.0;11018.0;246622.0;84
621977702395095.0;249394807.96421865;36203.867196751235;225886.0;1730260.0;236259.0;180600.0;11037.0;257486.0;85
879609302220800.0;296582080.0757861;38802.34410266618;226699.0;1754764.0;236259.0;181200.0;11050.0;265928.0;86
1243955404790190.0;352697519.80843157;41587.32269343924;227364.0;1779214.0;237906.0;181524.0;11065.0;276146.0;87
1759218604441600.0;419430400.0;44572.18884076158;228006.0;1799124.0;238564.0;182196.0;11078.0;286605.0;88
2487910809580380.0;498789615.9284373;47771.28916668455;228658.0;1816479.0;239228.0;182922.0;11110.0;297535.0;89
;;;229327.0;1837374.0;239479.0;183189.0;11122.0;308993.0;90
;;;229858.0;1857332.0;239638.0;183410.0;11142.0;320922.0;91
;;;230158.0;1878683.0;239932.0;183594.0;11165.0;332424.0;92
;;;230555.0;1903907.0;240326.0;183879.0;11190.0;343091.0;93
;;;231139.0;1926639.0;240660.0;184121.0;11206.0;354065.0;94
;;;231732.0;1944370.0;240978.0;184472.0;11225.0;366946.0;95
;;;232248.0;1961785.0;241310.0;184924.0;11265.0;380532.0;96
;;;232664.0;1979912.0;241550.0;185450.0;11344.0;395048.0;97
;;;232997.0;2000706.0;241717.0;185750.0;11402.0;410451.0;98
;;;233197.0;2023656.0;241966.0;186109.0;11441.0;425282.0;99
;;;233515.0;2048986.0;242280.0;186506.0;11468.0;440215.0;100
;;;233836.0;2074542.0;242707.0;186522.0;11503.0;456183.0;101
;;;234013.0;2094366.0;243209.0;186691.0;11541.0;473105.0;102
;;;234531.0;2114026.0;243605.0;187226.0;11590.0;490401.0;103
;;;234801.0;2137731.0;243928.0;187267.0;11629.0;508953.0;104
;;;234998.0;2163290.0;244109.0;187518.0;11668.0;528859.0;105
;;;235278.0;2191099.0;244328.0;187682.0;11719.0;548318.0;106
;;;235561.0;2222579.0;244683.0;188252.0;11776.0;566840.0;107
;;;235763.0;2255328.0;245268.0;188604.0;11814.0;585481.0;108
;;;236142.0;2281767.0;245575.0;189817.0;11852.0;604641.0;109
;;;236305.0;2312303.0;245938.0;190299.0;11902.0;625544.0;110
;;;236651.0;2347491.0;246272.0;190670.0;11947.0;648315.0;111
;;;236989.0;2382426.0;246504.0;191272.0;12003.0;673165.0;112
;;;237290.0;2422299.0;246752.0;191768.0;12051.0;697413.0;113
;;;237500.0;2467554.0;247086.0;192480.0;12085.0;719664.0;114
;;;237828.0;2510259.0;247486.0;192871.0;12121.0;742417.0;115
;;;238159.0;2549864.0;247905.0;193371.0;12155.0;767296.0;116
;;;238011.0;2590668.0;248469.0;194036.0;12198.0;793802.0;117
;;;238275.0;2636414.0;248770.0;194458.0;12257.0;820916.0;118
;;;238499.0;2687588.0;248970.0;194693.0;12306.0;849522.0;119
;;;238720.0;2742049.0;249271.0;195042.0;12373.0;878254.0;120
;;;238833.0;2795361.0;249659.0;195418.0;12421.0;906752.0;121
;;;239410.0;2841241.0;250103.0;195893.0;12438.0;936181.0;122
;;;239706.0;2891124.0;250545.0;196370.0;12484.0;968857.0;123
;;;239961.0;2936077.0;250545.0;196780.0;12535.0;1003832.0;124
;;;240136.0;2996098.0;250545.0;197198.0;12563.0;1039084.0;125
;;;240310.0;3054699.0;251789.0;197523.0;12602.0;1077781.0;126
;;;240436.0;3117946.0;252130.0;198064.0;12653.0;1118206.0;127
;;;240578.0;3185737.0;252513.0;198343.0;12715.0;1155338.0;128
;;;240760.0;3245925.0;253056.0;198699.0;12757.0;1193078.0;129
;;;240961.0;3304942.0;253908.0;199001.0;12800.0;1238798.0;130
;;;241184.0;3364157.0;253908.0;199332.0;12850.0;1288108.0;131
;;;241419.0;3431574.0;253908.0;199709.0;12904.0;1337024.0;132
;;;241611.0;3498902.0;255953.0;199919.0;12967.0;1385635.0;133
;;;241819.0;3576157.0;256619.0;200180.0;13030.0;1435616.0;134
;;;241956.0;3647715.0;257494.0;200456.0;13091.0;1480073.0;135
;;;242149.0;3711413.0;258855.0;200890.0;13137.0;1531669.0;136
;;;242363.0;3773260.0;260255.0;201450.0;13181.0;1581963.0;137
;;;242639.0;3834677.0;260255.0;202045.0;13244.0;1634746.0;138
;;;242827.0;3899211.0;260255.0;202426.0;13293.0;1695988.0;139
;;;243061.0;3970121.0;264836.0;202735.0;13338.0;1750723.0;140
;;;243230.0;4038816.0;266194.0;203325.0;13373.0;1803695.0;141
;;;243344.0;4112531.0;267551.0;203717.0;13417.0;1855745.0;142
;;;243506.0;4178970.0;270166.0;204276.0;13479.0;1908254.0;143
;;;243736.0;4233923.0;272421.0;204881.0;13512.0;1964536.0;144
;;;243967.0;4290337.0;272421.0;205623.0;13551.0;2027074.0;145
;;;244216.0;4356206.0;272421.0;206278.0;13612.0;2088611.0;146
;;;244434.0;4426982.0;278782.0;206667.0;13672.0;2153010.0;147
;;;244624.0;4495015.0;280610.0;207112.0;13711.0;2215074.0;148
;;;244752.0;4562107.0;282641.0;207707.0;13745.0;2268675.0;149
;;;245032.0;4620592.0;285430.0;208546.0;13771.0;2329638.0;150
;;;245338.0;4668172.0;288522.0;209535.0;13816.0;2396637.0;151
;;;245590.0;4713540.0;288522.0;210399.0;13879.0;2461190.0;152
;;;245864.0;4771080.0;288522.0;211005.0;13938.0;2525922.0;153
;;;246118.0;4823890.0;297054.0;211220.0;13979.0;2589952.0;154
;;;246286.0;4883582.0;302814.0;212111.0;14092.0;2647663.0;155
;;;246488.0;4941755.0;305767.0;212828.0;14150.0;2702681.0;156
;;;246776.0;4997929.0;309855.0;214113.0;14175.0;2767253.0;157
;;;247158.0;5044864.0;314362.0;215039.0;14203.0;2836925.0;158
;;;247537.0;5094400.0;314362.0;216196.0;14251.0;2905825.0;159
;;;247832.0;5141208.0;314362.0;216903.0;14269.0;2975701.0;160
;;;248070.0;5197411.0;322980.0;217288.0;14305.0;3044940.0;161
;;;248229.0;5248958.0;326612.0;218508.0;14336.0;3106348.0;162
;;;248419.0;5313252.0;329784.0;219540.0;14366.0;3167323.0;163
;;;248803.0;5361165.0;337334.0;220859.0;14389.0;3224547.0;164
;;;249204.0;5403213.0;342813.0;222281.0;14423.0;3310234.0;165
;;;249756.0;5438325.0;342813.0;223791.0;14456.0;3387500.0;166
;;;250103.0;5483388.0;342813.0;224488.0;14499.0;3463972.0;167
;;;250566.0;5529824.0;359082.0;225007.0;14519.0;3542733.0;168
;;;250825.0;5573847.0;364196.0;226700.0;14562.0;3621245.0;169
;;;251237.0;5622470.0;370867.0;228120.0;14598.0;3691166.0;170
;;;251713.0;5667070.0;377906.0;229706.0;14626.0;3769523.0;171
;;;252235.0;5701645.0;386054.0;231292.0;14660.0;3853406.0;172
;;;252809.0;5739536.0;386054.0;233029.0;14714.0;3936747.0;173
;;;253438.0;5777710.0;386054.0;233861.0;14770.0;4023179.0;174
;;;253915.0;5821819.0;405436.0;234494.0;14873.0;4113811.0;175
;;;254235.0;5867785.0;412553.0;236122.0;15039.0;4204613.0;176
;;;254636.0;5913941.0;419849.0;237583.0;15318.0;4280422.0;177
;;;255278.0;5961094.0;429507.0;239010.0;15515.0;4370128.0;178
;;;256118.0;5996431.0;439286.0;240571.0;15761.0;4465863.0;179
;;;257065.0;6030587.0;439286.0;242126.0;16058.0;4562414.0;180
;;;258136.0;6073840.0;439286.0;242835.0;16346.0;4659984.0;181
;;;259345.0;6113510.0;462858.0;243305.0;16670.0;4754356.0;182
;;;260298.0;6150016.0;470973.0;244802.0;17002.0;;183
;;;261174.0;6200518.0;479554.0;246015.0;17399.0;;184
;;;262540.0;6244970.0;488513.0;247411.0;17665.0;;185
;;;263949.0;6276365.0;498989.0;248840.0;17945.0;;186
;;;265409.0;6300622.0;498989.0;250283.0;18265.0;;187
;;;266853.0;6327009.0;498989.0;251058.0;18706.0;;188
;;;268218.0;6360212.0;525549.0;251728.0;19077.0;;189
;;;269214.0;6396100.0;534513.0;253626.0;19400.0;;190
;;;270189.0;6443743.0;543379.0;254957.0;19699.0;;191
;;;271515.0;6485214.0;554143.0;256433.0;19947.0;;192
;;;272912.0;;566326.0;258149.0;20182.0;;193
;;;274644.0;;566326.0;259735.0;20449.0;;194
;;;276338.0;;;260817.0;20644.0;;195
;;;277634.0;;;;20842.0;;196
;;;278784.0;;;;21010.0;;197
;;;280153.0;;;;21177.0;;198
;;;281583.0;;;;21296.0;;199
;;;283180.0;;;;21432.0;;200
;;;284796.0;;;;21588.0;;201
;;;286297.0;;;;21743.0;;202
;;;;;;;21919.0;;203
;;;;;;;22055.0;;204
;;;;;;;22176.0;;205
