date;Italy;US;Spain;Germany;Korea, South;India
2020-03-16;27980;4354;9942;7272;8236;119
2020-03-17;31506;5970;11748;9257;8320;142
2020-03-18;35713;8386;13910;12327;8413;156
2020-03-19;41035;12674;17963;15320;8565;194
2020-03-20;47021;18736;20410;19848;8652;244
2020-03-21;53578;24508;25374;22213;8799;330
2020-03-22;59138;33152;28768;24873;8961;396
2020-03-23;63927;43850;35136;29056;8961;499
2020-03-24;69176;54112;39885;32986;9037;536
2020-03-25;74386;66055;49515;37323;9137;657
2020-03-26;80589;83611;57786;43938;9241;727
2020-03-27;86498;102101;65719;50871;9332;887
2020-03-28;92472;122059;73235;57695;9478;987
2020-03-29;97689;141205;80110;62095;9583;1024
2020-03-30;101739;162707;87956;66885;9661;1251
2020-03-31;105792;188744;95923;71808;9786;1397
2020-04-01;110574;214205;104118;77872;9887;1998
2020-04-02;115242;244610;112065;84794;9976;2543
2020-04-03;119827;276547;119199;91159;10062;2567
2020-04-04;124632;309699;126168;96092;10156;3082
2020-04-05;128948;337573;131646;100123;10237;3588
2020-04-06;132547;367215;136675;103374;10284;4778
2020-04-07;135586;397992;141942;107663;10331;5311
2020-04-08;139422;429686;148220;113296;10384;5916
2020-04-09;143626;464442;153222;118181;10423;6725
2020-04-10;147577;497943;158273;122171;10450;7598
2020-04-11;152271;527969;163027;124908;10480;8446
2020-04-12;156363;556522;166831;127854;10512;9205
2020-04-13;159516;581813;170099;130072;10537;10453
2020-04-14;162488;608878;172541;131359;10564;11487
2020-04-15;165155;637974;177644;134753;10591;12322
2020-04-16;168941;669272;184948;137698;10613;13430
2020-04-17;172434;701996;190839;141397;10635;14352
2020-04-18;175925;730266;191726;143342;10653;15722
2020-04-19;178972;756544;198674;145184;10661;17615
2020-04-20;181228;783931;200210;147065;10674;18539
2020-04-21;183957;809295;204178;148291;10683;20080
2020-04-22;187327;837627;208389;150648;10694;21370
2020-04-23;189973;871617;213024;153129;10708;23077
2020-04-24;192994;907908;202990;154999;10718;24530
2020-04-25;195351;940829;205905;156513;10728;26283
2020-04-26;197675;968518;207634;157770;10738;27890
2020-04-27;199414;990983;209465;158758;10752;29451
2020-04-28;201505;1015518;210773;159912;10761;31324
2020-04-29;203591;1043038;212917;161539;10765;33062
2020-04-30;205463;1072667;213435;163009;10774;34863
2020-05-01;207428;1106829;215216;164077;10780;37257
2020-05-02;209328;1136024;216582;164967;10793;39699
2020-05-03;210717;1161611;217466;165664;10801;42505
2020-05-04;211938;1184086;218011;166152;10804;46437
2020-05-05;213013;1208271;219329;167007;10806;49400
2020-05-06;214457;1233527;220325;168162;10810;52987
2020-05-07;215858;1261409;221447;169430;10822;56351
2020-05-08;217185;1288587;222857;170588;10840;59695
2020-05-09;218268;1314320;223578;171324;10874;62808
2020-05-10;219070;1334084;224350;171879;10909;67161
2020-05-11;219814;1352962;227436;172576;10936;70768
2020-05-12;221216;1375152;228030;173171;10962;74292
2020-05-13;222104;1396110;228691;174098;10991;78055
2020-05-14;223096;1423727;229540;174478;11018;81997
2020-05-15;223885;1449027;230183;175233;11037;85784
2020-05-16;224760;1474128;230698;175752;11050;90648
2020-05-17;225435;1493132;230698;176369;11065;95698
2020-05-18;225886;1514901;231606;176551;11078;100328
2020-05-19;226699;1535350;232037;177778;11110;106475
2020-05-20;227364;1559157;232555;178473;11122;112028
2020-05-21;228006;1584512;233037;179021;11142;118226
2020-05-22;228658;1608653;234824;179710;11165;124794
2020-05-23;229327;1630476;235290;179986;11190;131423
2020-05-24;229858;1651289;235772;180328;11206;138536
2020-05-25;230158;1670280;235400;180600;11225;144950
2020-05-26;230555;1689163;236259;181200;11265;150793
2020-05-27;231139;1707445;236259;181524;11344;158086
2020-05-28;231732;1730260;237906;182196;11402;165386
2020-05-29;232248;1754764;238564;182922;11441;173491
2020-05-30;232664;1779214;239228;183189;11468;181827
2020-05-31;232997;1799124;239479;183410;11503;190609
2020-06-01;233197;1816479;239638;183594;11541;198370
2020-06-02;233515;1837374;239932;183879;11590;207191
2020-06-03;233836;1857332;240326;184121;11629;216824
2020-06-04;234013;1878683;240660;184472;11668;226713
2020-06-05;234531;1903907;240978;184924;11719;236184
2020-06-06;234801;1926639;241310;185450;11776;246622
2020-06-07;234998;1944370;241550;185750;11814;257486
2020-06-08;235278;1961785;241717;186109;11852;265928
2020-06-09;235561;1979912;241966;186506;11902;276146
2020-06-10;235763;2000706;242280;186522;11947;286605
2020-06-11;236142;2023656;242707;186691;12003;297535
2020-06-12;236305;2048986;243209;187226;12051;308993
2020-06-13;236651;2074542;243605;187267;12085;320922
2020-06-14;236989;2094366;243928;187518;12121;332424
2020-06-15;237290;2114026;244109;187682;12155;343091
2020-06-16;237500;2137731;244328;188252;12198;354065
2020-06-17;237828;2163290;244683;188604;12257;366946
2020-06-18;238159;2191099;245268;189817;12306;380532
2020-06-19;238011;2222579;245575;190299;12373;395048
2020-06-20;238275;2255328;245938;190670;12421;410451
2020-06-21;238499;2281767;246272;191272;12438;425282
2020-06-22;238720;2312303;246504;191768;12484;440215
2020-06-23;238833;2347491;246752;192480;12535;456183
2020-06-24;239410;2382426;247086;192871;12563;473105
2020-06-25;239706;2422299;247486;193371;12602;490401
2020-06-26;239961;2467554;247905;194036;12653;508953
2020-06-27;240136;2510259;248469;194458;12715;528859
2020-06-28;240310;2549864;248770;194693;12757;548318
2020-06-29;240436;2590668;248970;195042;12800;566840
2020-06-30;240578;2636414;249271;195418;12850;585481
2020-07-01;240760;2687588;249659;195893;12904;604641
2020-07-02;240961;2742049;250103;196370;12967;625544
2020-07-03;241184;2795361;250545;196780;13030;648315
2020-07-04;241419;2841241;250545;197198;13091;673165
2020-07-05;241611;2891124;250545;197523;13137;697413
2020-07-06;241819;2936077;251789;198064;13181;719664
2020-07-07;241956;2996098;252130;198343;13244;742417
2020-07-08;242149;3054699;252513;198699;13293;767296
2020-07-09;242363;3117946;253056;199001;13338;793802
2020-07-10;242639;3185737;253908;199332;13373;820916
2020-07-11;242827;3245925;253908;199709;13417;849522
2020-07-12;243061;3304942;253908;199919;13479;878254
2020-07-13;243230;3364157;255953;200180;13512;906752
2020-07-14;243344;3431574;256619;200456;13551;936181
2020-07-15;243506;3498902;257494;200890;13612;968857
2020-07-16;243736;3576157;258855;201450;13672;1003832
2020-07-17;243967;3647715;260255;202045;13711;1039084
2020-07-18;244216;3711413;260255;202426;13745;1077781
2020-07-19;244434;3773260;260255;202735;13771;1118206
2020-07-20;244624;3834677;264836;203325;13816;1155338
2020-07-21;244752;3899211;266194;203717;13879;1193078
2020-07-22;245032;3970121;267551;204276;13938;1238798
2020-07-23;245338;4038816;270166;204881;13979;1288108
2020-07-24;245590;4112531;272421;205623;14092;1337024
2020-07-25;245864;4178970;272421;206278;14150;1385635
2020-07-26;246118;4233923;272421;206667;14175;1435616
2020-07-27;246286;4290337;278782;207112;14203;1480073
2020-07-28;246488;4356206;280610;207707;14251;1531669
2020-07-29;246776;4426982;282641;208546;14269;1581963
2020-07-30;247158;4495015;285430;209535;14305;1634746
2020-07-31;247537;4562107;288522;210399;14336;1695988
2020-08-01;247832;4620592;288522;211005;14366;1750723
2020-08-02;248070;4668172;288522;211220;14389;1803695
2020-08-03;248229;4713540;297054;212111;14423;1855745
2020-08-04;248419;4771080;302814;212828;14456;1908254
2020-08-05;248803;4823890;305767;214113;14499;1964536
2020-08-06;249204;4883582;309855;215039;14519;2027074
2020-08-07;249756;4941755;314362;216196;14562;2088611
2020-08-08;250103;4997929;314362;216903;14598;2153010
2020-08-09;250566;5044864;314362;217288;14626;2215074
2020-08-10;250825;5094400;322980;218508;14660;2268675
2020-08-11;251237;5141208;326612;219540;14714;2329638
2020-08-12;251713;5197411;329784;220859;14770;2396637
2020-08-13;252235;5248958;337334;222281;14873;2461190
2020-08-14;252809;5313252;342813;223791;15039;2525922
2020-08-15;253438;5361165;342813;224488;15318;2589952
2020-08-16;253915;5403213;342813;225007;15515;2647663
2020-08-17;254235;5438325;359082;226700;15761;2702681
2020-08-18;254636;5483388;364196;228120;16058;2767253
2020-08-19;255278;5529824;370867;229706;16346;2836925
2020-08-20;256118;5573847;377906;231292;16670;2905825
2020-08-21;257065;5622470;386054;233029;17002;2975701
2020-08-22;258136;5667070;386054;233861;17399;3044940
2020-08-23;259345;5701645;386054;234494;17665;3106348
2020-08-24;260298;5739536;405436;236122;17945;3167323
2020-08-25;261174;5777710;412553;237583;18265;3224547
2020-08-26;262540;5821819;419849;239010;18706;3310234
2020-08-27;263949;5867785;429507;240571;19077;3387500
2020-08-28;265409;5913941;439286;242126;19400;3463972
2020-08-29;266853;5961094;439286;242835;19699;3542733
2020-08-30;268218;5996431;439286;243305;19947;3621245
2020-08-31;269214;6030587;462858;244802;20182;3691166
2020-09-01;270189;6073840;470973;246015;20449;3769523
2020-09-02;271515;6113510;479554;247411;20644;3853406
2020-09-03;272912;6150016;488513;248840;20842;3936747
2020-09-04;274644;6200518;498989;250283;21010;4023179
2020-09-05;276338;6244970;498989;251058;21177;4113811
2020-09-06;277634;6276365;498989;251728;21296;4204613
2020-09-07;278784;6300622;525549;253626;21432;4280422
2020-09-08;280153;6327009;534513;254957;21588;4370128
2020-09-09;281583;6360212;543379;256433;21743;4465863
2020-09-10;283180;6396100;554143;258149;21919;4562414
2020-09-11;284796;6443743;566326;259735;22055;4659984
2020-09-12;286297;6485214;566326;260817;22176;4754356
